,date,Overall_AQI_Value,main_pollutant,site_name,site_id,source_aqi,co,ozone,so2,pm10,pm25,no2,lat,lon,city_name,state_ordinance
144,2019-02-14,44,NO2,Long Beach-Route 710 Near Road,06-037-4008,AQS,8.0,43,0.0,12.0,38,44.0,34.0522,-118.2437,Los_Angeles,2020-03-23
145,2019-02-15,43,Ozone,Mission Viejo,06-059-2022,AQS,14.0,43,3.0,11.0,39,36.0,34.0522,-118.2437,Los_Angeles,2020-03-23
146,2019-02-16,42,Ozone,Mission Viejo,06-059-2022,AQS,7.0,42,1.0,6.0,24,28.0,34.0522,-118.2437,Los_Angeles,2020-03-23
147,2019-02-17,44,Ozone,LAX Hastings,06-037-5005,AQS,7.0,44,1.0,10.0,27,24.0,34.0522,-118.2437,Los_Angeles,2020-03-23
148,2019-02-18,44,NO2,Long Beach-Route 710 Near Road,06-037-4008,AQS,8.0,42,1.0,8.0,24,44.0,34.0522,-118.2437,Los_Angeles,2020-03-23
149,2019-02-19,54,NO2,Long Beach-Route 710 Near Road,06-037-4008,AQS,9.0,44,1.0,13.0,41,54.0,34.0522,-118.2437,Los_Angeles,2020-03-23
150,2019-02-20,50,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,11.0,41,1.0,34.0,50,40.0,34.0522,-118.2437,Los_Angeles,2020-03-23
151,2019-02-21,53,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,14.0,40,0.0,7.0,53,52.0,34.0522,-118.2437,Los_Angeles,2020-03-23
152,2019-02-22,55,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,14.0,43,1.0,12.0,55,45.0,34.0522,-118.2437,Los_Angeles,2020-03-23
153,2019-02-23,52,PM2.5,Reseda,06-037-1201,AQS,13.0,49,4.0,13.0,52,37.0,34.0522,-118.2437,Los_Angeles,2020-03-23
154,2019-02-24,63,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,14.0,50,1.0,17.0,63,37.0,34.0522,-118.2437,Los_Angeles,2020-03-23
155,2019-02-25,61,Ozone,Mission Viejo,06-059-2022,AQS,15.0,61,6.0,19.0,60,48.0,34.0522,-118.2437,Los_Angeles,2020-03-23
156,2019-02-26,66,PM2.5,Los Angeles-North Main Street,06-037-1103,AQS,10.0,48,3.0,37.0,66,43.0,34.0522,-118.2437,Los_Angeles,2020-03-23
157,2019-02-27,58,PM2.5,Glendora,06-037-0016,AQS,8.0,44,1.0,19.0,58,38.0,34.0522,-118.2437,Los_Angeles,2020-03-23
158,2019-02-28,57,PM2.5,Glendora,06-037-0016,AQS,8.0,36,1.0,15.0,57,29.0,34.0522,-118.2437,Los_Angeles,2020-03-23
159,2019-03-01,59,PM2.5,Glendora,06-037-0016,AQS,8.0,37,1.0,17.0,59,30.0,34.0522,-118.2437,Los_Angeles,2020-03-23
160,2019-03-02,40,PM2.5,Glendora,06-037-0016,AQS,8.0,36,1.0,6.0,40,31.0,34.0522,-118.2437,Los_Angeles,2020-03-23
161,2019-03-03,38,Ozone,Mission Viejo,06-059-2022,AQS,7.0,38,0.0,3.0,30,15.0,34.0522,-118.2437,Los_Angeles,2020-03-23
162,2019-03-04,42,NO2,Long Beach-Route 710 Near Road,06-037-4008,AQS,8.0,37,0.0,16.0,32,42.0,34.0522,-118.2437,Los_Angeles,2020-03-23
163,2019-03-05,59,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,11.0,39,1.0,19.0,59,41.0,34.0522,-118.2437,Los_Angeles,2020-03-23
164,2019-03-06,44,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,8.0,37,1.0,8.0,44,37.0,34.0522,-118.2437,Los_Angeles,2020-03-23
165,2019-03-07,43,NO2,Long Beach-Route 710 Near Road,06-037-4008,AQS,7.0,42,0.0,7.0,32,43.0,34.0522,-118.2437,Los_Angeles,2020-03-23
166,2019-03-08,46,Ozone,Mission Viejo,06-059-2022,AQS,7.0,46,0.0,9.0,28,43.0,34.0522,-118.2437,Los_Angeles,2020-03-23
