,date,Overall_AQI_Value,main_pollutant,site_name,Lat ,Lon,site_id,source_aqi,co,ozone,so2,pm10,pm25,no2,lat,lon,city_name,state_ordinance
149,2019-02-18,38,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AQS,7.0,35,0,8,38,.,43.615,-116.2023,Boise,2020-03-25
150,2019-02-19,40,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AQS,8.0,30,1,16,40,.,43.615,-116.2023,Boise,2020-03-25
151,2019-02-20,36,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AQS,8.0,.,1,12,36,.,43.615,-116.2023,Boise,2020-03-25
152,2019-02-21,47,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AQS,8.0,.,0,10,47,.,43.615,-116.2023,Boise,2020-03-25
153,2019-02-22,40,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AQS,8.0,31,3,14,40,.,43.615,-116.2023,Boise,2020-03-25
154,2019-02-23,41,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AQS,8.0,31,0,6,41,.,43.615,-116.2023,Boise,2020-03-25
155,2019-02-24,52,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AQS,7.0,31,0,6,52,.,43.615,-116.2023,Boise,2020-03-25
156,2019-02-25,60,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AQS,7.0,30,1,22,60,.,43.615,-116.2023,Boise,2020-03-25
157,2019-02-26,45,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AQS,7.0,29,0,6,45,.,43.615,-116.2023,Boise,2020-03-25
158,2019-02-27,64,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AQS,9.0,20,1,14,64,.,43.615,-116.2023,Boise,2020-03-25
159,2019-02-28,39,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AQS,8.0,34,1,10,39,.,43.615,-116.2023,Boise,2020-03-25
160,2019-03-01,38,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AQS,9.0,35,1,16,38,.,43.615,-116.2023,Boise,2020-03-25
161,2019-03-02,40,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-027-0002,AQS,9.0,33,1,17,40,.,43.615,-116.2023,Boise,2020-03-25
162,2019-03-03,40,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AQS,8.0,33,1,14,40,.,43.615,-116.2023,Boise,2020-03-25
