Date,Overall_AQI_Value,Main Pollutant,SiteName (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
04/16/2019,32,PM2.5,Portland,41-051-0080,AQS,3,31,0,.,32,20
04/17/2019,34,Ozone,Portland,41-051-0080,AQS,5,34,0,.,14,24
04/18/2019,32,NO2,Portland,41-051-0080,AQS,8,30,1,10,27,32
04/19/2019,32,Ozone,Portland,53-011-0011,AirNow,2,32,0,.,18,16
04/20/2019,38,Ozone,Portland,41-051-0080,AQS,2,38,0,.,18,12
04/21/2019,36,Ozone,Portland,53-011-0011,AirNow,3,36,0,10,28,19
04/22/2019,35,PM2.5,Portland,41-051-0080,AQS,6,31,1,.,35,24
04/23/2019,34,Ozone,Portland,41-051-0080,AQS,3,34,0,.,28,22
04/24/2019,41,Ozone,Portland,41-051-0080,AQS,3,41,0,12,28,28
04/25/2019,41,Ozone,Portland,41-051-0080,AQS,2,41,0,.,26,26
04/26/2019,46,Ozone,Portland,53-011-0011,AirNow,2,46,0,.,25,28
04/27/2019,36,Ozone,Portland,41-051-0080,AQS,2,36,.,11,18,14
04/28/2019,38,Ozone,Portland,53-011-0011,AirNow,5,38,0,.,21,19
04/29/2019,41,Ozone,Portland,41-051-0080,AQS,2,41,0,.,20,24
04/30/2019,44,Ozone,Portland,41-051-0080,AQS,2,44,0,8,21,27
5/1/2019,44,Ozone,Portland,41-005-0004,AQS,5,44,0,.,23,21
5/2/2019,44,Ozone,Portland,41-005-0004,AQS,2,44,0,.,27,16
5/3/2019,37,Ozone,Portland,41-005-0004,AQS,3,37,0,11,21,21
5/4/2019,42,Ozone,Portland,41-005-0004,AQS,2,42,0,.,24,11
5/5/2019,39,Ozone,Portland,41-005-0004,AQS,2,39,0,.,25,9
5/6/2019,44,Ozone,Portland,41-005-0004,AQS,2,44,0,14,30,18
5/7/2019,44,Ozone,Portland,41-005-0004,AQS,2,44,0,.,30,13
